date,player1,result1,player2,result2,title,note
2006-04-01,窪田義行,,屋敷伸之,,銀河戦 Ｄ7回戦,詳細情報
2006-04-02,山本真也,,宮田敦史,,NHK杯戦 1回戦,詳細情報
2006-04-03,千葉幸生,○,佐々木慎,●,王将戦 一次予選,
2006-04-04,羽生善治,○,藤井猛,●,朝日オープン 第1局,
2006-04-04,田丸昇,○,宮田利男,●,竜王戦6組 昇決1回戦,
2006-04-05,小林裕士,○,藤原直哉,●,王位戦 白組3回戦,
2006-04-05,伊藤果,●,北浜健介,○,竜王戦4組 昇決2回戦,
2006-04-05,淡路仁茂,●,阪口悟,○,棋王戦 予選,
2006-04-05,畠山成幸,●,村田智弘,○,王将戦 一次予選,
2006-04-05,千葉涼子,○,古河彩子,●,女流王位戦 白組1回戦,
2006-04-06,谷川浩司,●,渡辺明,○,王位戦 紅組3回戦,
2006-04-06,児玉孝一,●,酒井順吉,○,竜王戦6組 昇決1回戦,
2006-04-06,上野裕和,○,桐谷広人,●,竜王戦6組 昇決1回戦,
2006-04-06,武者野勝巳,●,遠山雄亮,○,竜王戦6組 昇決1回戦,
2006-04-06,窪田義行,○,青野照市,●,王将戦 一次予選,
2006-04-06,畠山鎮,○,田中魁秀,●,王将戦 一次予選,
2006-04-06,佐藤和俊,○,中田宏樹,●,王将戦 一次予選,
2006-04-06,片上大輔,●,飯塚祐紀,○,王将戦 一次予選,
2006-04-06,小林健二,●,安用寺孝功,○,棋王戦 予選,
2006-04-06,石高澄恵,●,坂東香菜子,○,倉敷藤花戦 1回戦,
2006-04-06,富岡英作,,山崎隆之,,銀河戦 E7回戦,詳細情報
2006-04-07,森内俊之,○,羽生善治,●,竜王戦1組 2回戦,
2006-04-07,塚田泰明,○,南芳一,●,竜王戦2組 2回戦,
2006-04-07,沼春雄,●,小林宏,○,竜王戦6組 昇決1回戦,
2006-04-07,阿久津主税,○,佐藤康光,●,王位戦 紅組3回戦,
2006-04-07,深浦康市,○,先崎学,●,王位戦 白組3回戦,
2006-04-07,佐藤紳哉,●,中川大輔,○,王位戦 紅組3回戦,
2006-04-07,屋敷伸之,●,宮田敦史,○,王将戦 一次予選,
2006-04-07,木村一基,○,真田圭一,●,王座戦 二次予選決勝,
2006-04-07,中井広恵,○,石橋幸緒,●,女流王将戦 挑決,
2006-04-07,山田久美,●,清水市代,○,女流名人位戦 A1回戦,
2006-04-07,中村真梨花,○,中倉宏美,●,女流王位戦 紅組1回戦,
2006-04-08,杉本昌隆,,北島忠雄,,銀河戦 F7回戦,詳細情報
2006-04-09,西尾明,,片上大輔,,NHK杯戦 1回戦,詳細情報
2006-04-10,安西勝一,○,滝誠一郎,●,竜王戦6組 昇決1回戦,
2006-04-10,関浩,●,櫛田陽一,○,竜王戦6組 昇決1回戦,
2006-04-10,阿久津主税,○,田中寅彦,●,王将戦 一次予選,
2006-04-10,谷川浩司,●,森内俊之,○,名人戦 第１局,
2006-04-11,木村一基,●,中原誠,○,竜王戦1組 ４決１回戦,
2006-04-11,森下卓,●,鈴木大介,○,棋聖戦 準決勝,
2006-04-12,畠山成幸,●,福崎文吾,○,竜王戦3組 昇決1回戦,
2006-04-12,阪口悟,●,中村亮介,○,竜王戦6組 準々決勝・千日手,
2006-04-12,藤倉勇樹,○,佐藤義則,●,竜王戦6組 昇決1回戦,
2006-04-12,中田宏樹,○,佐藤秀司,●,棋王戦 予選,
2006-04-12,南芳一,●,橋本崇載,○,王将戦 一次予選,
2006-04-12,田丸昇,●,勝又清和,○,王将戦 一次予選,
2006-04-12,先崎学,○,村中秀史,●,王将戦 一次予選,
2006-04-12,竹部さゆり,●,石橋幸緒,○,女流王位戦 白組1回戦,
2006-04-12,島井咲緒里,○,蛸島彰子,●,倉敷藤花戦 1回戦,
2006-04-12,上田初美,●,中倉彰子,○,倉敷藤花戦 1回戦,
2006-04-13,中川大輔,○,日浦市郎,●,竜王戦2組 昇決1回戦,
2006-04-13,神崎健二,●,増田裕司,○,竜王戦4組 昇決2回戦,
2006-04-13,田村康介,○,片上大輔,●,竜王戦5組 準決勝,
2006-04-13,室岡克彦,○,大内延介,●,竜王戦5組 昇決2回戦,
2006-04-13,窪田義行,○,伊奈祐介,●,竜王戦5組 昇決2回戦,
2006-04-13,坪内利幸,●,野田敬三,○,竜王戦6組 昇決1回戦,
2006-04-13,塚田泰明,○,森けい二,●,棋王戦 予選・千日手,
2006-04-13,飯野健二,●,佐藤紳哉,○,棋王戦 予選,
2006-04-13,石川陽生,○,土佐浩司,●,棋王戦 予選,
2006-04-13,飯島栄治,○,大平武洋,●,棋王戦 予選,
2006-04-13,岩根忍,●,中井広恵,○,女流名人位戦 A2回戦,
2006-04-13,長沢千和子,○,本田小百合,●,倉敷藤花戦 2回戦,
2006-04-13,森安多恵子,○,鹿野圭生,●,倉敷藤花戦 1回戦,
2006-04-13,小林裕士,,西川慶二,,銀河戦 G7回戦,詳細情報
2006-04-14,中座真,○,大平武洋,●,竜王戦5組 準決勝,
2006-04-14,堀口一史座,○,横山泰明,●,竜王戦5組 昇決2回戦,
2006-04-14,宮田敦史,○,富岡英作,●,棋王戦 予選,
2006-04-14,島朗,○,中田功,●,王将戦 一次予選,
2006-04-14,戸辺三段,○,松尾歩,●,新人王戦 ２回戦,
2006-04-14,佐藤天三段,○,千葉幸生,●,新人王戦 ２回戦,
2006-04-15,羽生善治,○,森内俊之,●,棋聖戦 準決勝,
2006-04-15,阿久津主税,,小野修一,,銀河戦 H7回戦,詳細情報
2006-04-16,田村康介,,木村一基,,NHK杯戦 1回戦,詳細情報
2006-04-17,畠山鎮,○,羽生善治,●,竜王戦1組 4決1回戦,
2006-04-18,屋敷伸之,●,杉本昌隆,○,竜王戦1組 ５決2回戦,
2006-04-18,豊川孝弘,○,堀口弘治,●,竜王戦4組 昇決2回戦,
2006-04-18,大島映二,●,小野修一,○,竜王戦5組 昇決2回戦,
2006-04-18,石川陽生,●,村山慈明,○,竜王戦6組 4回戦,
2006-04-18,島朗,●,森内俊之,○,王位戦 白組3回戦,
2006-04-18,久保利明,○,鈴木大介,●,王座戦 本戦1回戦,
2006-04-18,石橋幸緒,○,松尾香織,●,女流名人位戦 A級2回戦,
2006-04-18,藤森奈津子,○,山下カズ子,●,倉敷藤花 本戦1回戦,
2006-04-18,貞升南,○,関根紀代子,●,倉敷藤花 本戦1回戦,
2006-04-19,藤井猛,○,羽生善治,●,朝日オープン 第2局,
2006-04-19,前田祐司,●,佐藤秀司,○,竜王戦4組 昇決2回戦,
2006-04-19,泉正樹,●,佐々木慎,○,竜王戦4組 昇決2回戦,
2006-04-20,佐藤康光,●,丸山忠久,○,竜王戦1組 準決勝,
2006-04-20,森けい二,●,小林健二,○,竜王戦3組 準決勝,
2006-04-20,野月浩貴,○,浦野真彦,●,竜王戦3組 昇決1回戦,
2006-04-20,山本真也,○,飯塚祐紀,●,竜王戦4組 準決勝,
2006-04-20,平藤真吾,○,矢倉規広,●,竜王戦4組 昇決2回戦,
2006-04-20,小阪昇,○,伊藤博文,●,竜王戦5組 昇決2回戦,
2006-04-20,土佐浩司,●,高野秀行,○,竜王戦5組 昇決2回戦,
2006-04-20,南芳一,●,中田功,○,棋王戦 予選,
2006-04-20,中座真,●,山崎隆之,○,王将戦 一次予選,
2006-04-20,阿久津主税,○,中村太地,●,新人王戦 2回戦,
2006-04-20,千葉涼子,●,本田小百合,○,女流名人位 A級2回戦,
2006-04-20,早水千紗,●,中井広恵,○,女流王位戦 紅組1回戦,
2006-04-20,大庭美夏,●,北尾まどか,○,倉敷藤花戦 1回戦,
2006-04-20,野月浩貴,,真田圭一,,銀河戦 A8回戦,詳細情報
2006-04-21,松尾歩,○,真田圭一,●,竜王戦3組 準決勝,
2006-04-21,高崎一生,●,千葉幸生,○,竜王戦6組 準々決勝,
2006-04-21,大野八一雄,●,藤倉勇樹,○,棋聖戦 一次予選,
2006-04-21,島本亮,○,藤原直哉,●,棋聖戦 一次予選,
2006-04-21,脇謙二,●,西川慶二,○,棋王戦 予選,
2006-04-21,橋本崇載,○,村田智弘,●,棋王戦 予選,
2006-04-21,佐藤紳哉,○,中村修,●,王将戦 一次予選,
